"","plot.index","mod","OM","P","Kppm","Mgppm","Cappm","pH","CEC","K","Mg","Ca","C","N","C.N","spalpha.light","spalpha.l","spalpha.o","spalpha.r"
"21",5,"a",0.241508031249984,1.04832210144516,-0.133498318004089,-0.487327565571779,-0.153644216471346,-0.283864067831345,-0.834050415753676,0.850358340195561,-0.114132258821822,0.0658285594842378,0.31666318046756,0.685171257396662,-0.425518695411117,-0.790175154742335,0.724298731718152,0.993970735413082,0.208459821503803
"22",5,"b",0.0542160886479557,1.17805158095198,0.462612156369537,-0.487327565571779,-0.280017723215617,-0.493205494000309,-0.681087501667577,0.850358340195561,-0.317430344848192,-0.213931023391009,0.133864813959718,0.418533631689889,-0.360304967565977,-1.97256582873898,1.03491069321261,0.866673433027834,-0.384782283231449
"23",5,"c",0.653550304974446,0.903296881940175,0.147419678614676,-0.402339061536845,-0.423288188714886,-0.387444382100362,-0.910531872796725,1.08548336949543,0.106107334373412,-0.136744037219715,0.66481935842849,0.752516588593923,0.0416976197570265,-1.78747721697101,1.03491069321261,0.970811269751391,0.0608208526443861
"24",5,"d",0.391341585331606,0.73888084852536,-0.83498730216643,-0.76091567873032,-0.588681803068789,-0.387444382100362,-0.971717038431165,0.720751887792776,-0.232722809003871,-0.217866715473583,0.435160314039807,0.55819591504324,-0.0478903479021922,-0.129039401358999,0.724298731718152,0.970811269751391,-0.351132600432137
"100",6,"a",-1.36920267512746,0.0498308335422072,-0.576270040018988,0.524492824559279,1.44680407033061,1.64939631515673,-0.115124719549011,-0.451752227594872,0.0891658272045482,1.50020491220288,-1.48032865128938,-1.84123216626394,0.410266814833308,0.475243645727022,-3.15078597469995,-1.26987372967831,0.978626719461435
"101",6,"b",-1.6688697832907,-0.304389580904282,-1.10419160522972,-0.0864267199785146,1.44680407033061,1.43559948535739,-0.161013593774841,-0.720574096874815,-0.436020895030241,1.53857531654514,-1.96183116141398,-1.66994029421521,-1.25376778429278,-0.260105697907462,-0.649990603788378,-1.26987372967831,0.978626719461435
"37",7,"a",-0.545118127678534,-1.65710126325373,-0.730310562327745,-0.402339061536845,-1.02371938966623,-0.493205494000309,-1.0329022040656,0.911955611325339,0.377171449075239,-0.543081460861746,-0.528242614747239,-0.310544076771419,-0.458488762334234,0.389644005356796,1.03491069321261,-1.26987372967831,0.978626719461435
"38",7,"b",-0.395284573596912,-1.65710126325373,-0.995169011186218,-0.962870033917813,-1.76742105611685,-0.94003027821522,1.61335620962391,-1.88346924778809,-1.4016868036555,-1.67050253439196,-0.319918819959976,0.388192970715969,-1.09815695575569,0.517954546319133,0.0129170185274749,0.701618866914775,0.978626719461435
"39",7,"c",-0.0581590769132611,-1.65710126325373,-0.181368879998563,-0.239985004800701,-0.784300929021229,-0.601241211899706,-0.971717038431165,1.08548336949543,0.478820492088425,-0.399232069122885,0.00834812508541167,0.528529582912639,-0.731464380924744,-0.834776826071382,-1.56972579949525,0.866673433027834,0.978626719461435
"40",7,"d",-0.0207006883928556,-1.65710126325373,-0.67857615978112,0.199179868107952,-0.588681803068789,-0.493205494000309,-0.895235581388115,0.652433505883925,1.00400721432321,-0.302337204166617,0.0714891850497543,0.129274139902937,-0.0478903479021922,-0.129039401358999,-0.914173679877862,-1.26987372967831,0.978626719461435
