"","mOM","mP","mKppm","mMgppm","mCappm","mpH","mCEC","mK","mMg","mCa","mC","mN","mC.N","mlight","ml","mo","mr","vOM","vP","vKppm","vMgppm","vCappm","vpH","vCEC","vK","vMg","vCa","vC","vN","vC.N","vlight","vl","vo","vr"
"11",2.7,4.5,49.25,98.75,525,5.4,5.4,2.55,15.5,47.95,1.55,0.1185,13.25,8.4375,1.625,0,71.25,30.3914410496078,96.8644209675705,10.270044606087,29.9191525759255,40.0302228981539,4.78146092124373,32.8844953132524,31.7784203428581,10.8596827294216,15.6829476625825,29.09193388918,28.8610884905702,4.94901020702038,6.56994305958028,7.74341993361103,0,52.6689925500654
"12",5.225,2.75,74.25,97.5,325,4.6,9.525,2.725,11.525,19.4,3.025,0.2105,14.475,1.625,1.35,0,69.75,25.6475992698248,54.5454545454545,14.562695024295,21.1441314134239,46.1538461538462,3.96900403989251,66.3850044357732,53.8816745914056,54.3455023112467,34.6704571562891,26.6350015763566,23.6911309069676,13.0759884150243,26.6469355010597,33.4018500209103,0,62.2005809449034
"13",11.875,8,135.5,330,2412.5,6.65,16.65,2.1,16.525,72.4,6.875,0.5875,11.625,3.8125,0.05,0,101,22.8185665765713,17.6776695296637,9.44149621766076,3.27310136283225,6.1887643755333,1.50375939849624,5.15491218802151,12.8952990549777,3.02067153441693,4.07400033252835,22.4514167860846,15.4149878367628,8.726696942528,71.5074876631938,200,0,0
"14",7.275,4.25,83.75,148.75,275,4.55,10.05,2.4,14.3,15.7,4.225,0.25975,16.225,6.3125,1.525,0,40.5,19.3541276155721,11.7647058823529,14.2076173123196,29.223084270577,23.472626340651,3.80670507157995,42.2504950160441,39.2345746995154,46.424999911891,42.5275515480856,19.7435798915064,19.1189040166836,1.27060265812562,45.659204239,14.5400379187432,0,100.002540230907
"15",3.45,3,42.5,163.75,1012.5,6.05,8.65,1.25,16.15,59.275,2.025,0.1555,13.1,4.8125,0,0,101,22.5143578700117,27.2165526975909,32.2332903341718,9.11779789677808,17.7480318130435,6.11048843328343,22.7033500141124,30.9838667696593,12.9637223921091,11.4432825391727,21.0963055439939,30.1337243347056,7.78476261617219,73.1435212484609,0,0,0
"16",5.6875,4.75,82.625,191.875,1350,5.625,12.15,1.9,12.6125,50.9375,3.3,0.278,11.8125,11.1875,1.55,0,89.5,22.8613690091356,31.5789473684211,15.3994908928444,28.6323973877169,35.6852060069003,7.20310861104783,23.7901373379335,16.5042874756375,9.34422806257168,20.4626479679516,23.0781003207997,22.4812949525176,4.08013932724409,25.9561193058114,35.921060405355,0,25.6983240223464
"17",4.425,2,65.75,106.25,425,5.1,5.25,3.975,16.725,29.375,2.575,0.16275,16.125,7.8125,3.35,0,40.75,2.16367707967534,70.7106781186548,26.7027374389041,71.510317368867,131.883699770982,15.9294870679136,62.1022490929566,42.7117656511941,17.4070460281373,85.8882103014101,1.94174757281554,16.8821793431407,18.1538846485501,11.2,66.5923696786154,0,16.3240916511044
"18",4.35,4.5,65,76.25,287.5,4.3,12.15,1.425,5.3,12.275,2.525,0.19925,12.675,5.0625,2.275,0,76.75,15.9821100495128,12.8300059819917,7.43147525445612,13.5183791003858,21.8835780732486,1.89882925797146,16.9008426131813,21.7241820128733,15.9356722758741,30.2953869938175,16.2890596425783,15.3730824516904,9.47567033488309,21.8533630409082,27.655071191468,0,29.4507697862506
"19",6.05,4.75,70.75,60,362.5,4.95,5.775,3.15,8.6,30.875,3.5,0.2395,14.6,5.8125,0.925,0,41.25,17.5185819235092,35.9542132138933,13.8667257034266,24.5326690731329,37.9832451536973,7.46837475179086,10.2320911406845,12.8300059819917,20.4730428623942,33.6565598126652,18.516401995451,14.4176117061435,4.71227567135851,27.9569892473118,70.822500926247,0,35.3183085680811
"20",7.525,13.25,85.75,245,2425,6.95,14.55,1.55,14.175,83.15,4.35,0.27725,15.8,6.4375,1.3,0,101,23.4323312031222,47.4832354419544,13.3433027749931,13.6394133712676,19.0837709648314,1.85754596940404,16.4039112393522,27.1172477697172,9.15070318946938,3.27817514622707,23.8534596417983,22.7591663461998,15.5203157449363,11.5964225677469,64.3584635795443,0,0
"21",7.85,4,64,46.25,150,4.575,3.7,4.425,10.375,20.275,4.575,0.314,14.175,1.3125,2.625,0,39.75,41.8318294699969,35.3553390593274,21.0019220350583,20.4645345794604,0,2.09273684755484,3.82219881722458,17.9254298068411,16.8491007263644,2.94213401860638,41.7928603515764,29.7084430064174,11.0404328962351,52.4530528312962,18.7597291462783,0,59.3687595045179
"22",2.875,2.5,44,150,1312.5,6.85,8.525,1.325,14.625,77.7,1.65,0.126,13.475,11.625,0.575,0,85.75,31.4168670257142,23.094010767585,19.8998871766117,39.9072999912622,23.7650378059846,9.27131819136625,15.5139078901198,20.7832850840985,33.237498292824,21.8641279711702,31.4918328648887,38.2657120439823,7.40567340998031,70.0054229327215,142.972318320447,0,23.7354314134666
"23",6.975,1.25,57,37.5,137.5,4.4,13.425,2.175,5.25,11.75,4.05,0.2415,16.6,12.125,2.225,0,77.75,27.9079311015997,40,15.2271538787036,13.3333333333333,18.1818181818182,4.90965204424838,85.0997721757748,79.4019128237726,88.0664903759387,88.5992464272779,28.6887655274623,22.3205946474083,5.77811026905147,33.096904818789,40.4286255236364,0,34.6292945724131
"24",16.15,8,89.75,65,200,4.15,21.275,1.075,2.55,4.675,9.375,0.4625,20.1,0.4375,3.1,0,39,27.0492103654926,91.8558653543692,15.5290917713274,22.6455406828919,20.4124145231932,1.39120546792682,5.78703564981201,15.8867453735808,23.638093228791,17.7574465674328,27.0040874820969,20.9573639323959,9.01948566559678,54.7101204432193,22.657319898608,0,15.5264120722948
"25",7.775,3,83,47.5,162.5,4.3,17.65,1.225,2.3,4.65,4.5,0.296,15.525,9.5625,1.2,0,44.5,27.372140055277,27.2165526975909,11.4721741823982,21.9122736785909,38.7170996680551,1.89882925797146,16.8612761072857,10.2718835854024,29.4883912309794,34.2514331624381,27.8147901563238,34.7442305058745,10.7830396410842,37.4246029836322,65.2630006915041,0,60.701894062444
"26",7.05,7.5,81,232.5,1512.5,6.025,12.4,1.675,15.85,61.7,4.1,0.2895,14.2,4.8125,2.225,0,38.25,11.4943222516721,53.8860251243651,14.2198786363547,9.53701411874557,11.2510070835604,6.82653536888136,12.4064309238864,5.71598273287366,17.4426366264933,17.0391675012688,11.7816071107231,11.4024523193986,11.3115340874711,48.6160870696674,7.6756185512806,0,50.1695191173738
"27",16.025,3.5,86.25,60,175,4.525,8.8,3.7,8.375,15.225,9.3,0.49575,18.025,11.75,3.55,0,33,66.0236397868693,28.5714285714286,20.9632892768403,24.5326690731329,16.4957219768465,2.11586101161621,90.4819510790654,52.7777243815381,56.598988147058,51.0751546713934,66.1618067222157,54.1062449893842,10.27351414827,11.9098266835083,7.45282059454814,0,11.866000125728
"28",7.075,5,118,103.75,412.5,5.1,6.25,4.95,14.025,32.8,4.125,0.274,14.95,0.6875,0.875,0,37.875,10.0856417567056,32.659863237109,11.9448443569864,18.1923721331825,26.8770397891921,4.23577823425351,18.4982882090929,15.3411255890835,14.5703071965944,15.7851082063651,9.77243363430127,8.89493255982039,3.20791406241653,34.8155311911396,46.0700442759917,0,20.1761495665426
"29",11,6.25,77.25,38.75,162.5,4.275,16.325,2.125,3.575,6.975,6.375,0.36,17.7,0.5625,2.95,0,53,10.5234880934457,30.2875111776015,7.27495805829013,6.45161290322581,29.4592956232719,3.99491257932148,53.1817805185319,112.178799445273,114.318020066682,73.0889907839702,10.0339038234748,9.47435351280481,1.957119556575,66.6666666666667,23.2395071200035,0,12.0321550123956
