"","plot.index","mod","OM","P","Kppm","Mgppm","Cappm","pH","CEC","K","Mg","Ca","C","N","C.N","summalpha.light","summalpha.l","summalpha.o","summalpha.r"
"33",18,"c",3.5,5,69,65,300,4.4,10.6,1.7,5.1,14.1,2,0.166,12.2,6.25,1.8,0,91
"34",18,"d",4.4,4,66,75,300,4.3,10.7,1.6,5.8,14,2.6,0.181,14.1,5.75,2,0,43
"35",19,"a",5.4,3,65,50,200,4.6,5.2,3.2,8,19.3,3.1,0.221,14.2,8.25,1.4,0,63
"36",19,"b",7,4,61,45,300,4.7,5.6,2.8,6.7,26.6,4.1,0.26,15.6,5,0.7,0,33
"37",19,"c",6.9,7,83,75,500,5.4,5.7,3.7,10.9,43.6,4,0.276,14.5,5,0.1,0,33
"38",19,"d",4.9,5,74,70,450,5.1,6.6,2.9,8.8,34,2.8,0.201,14.1,5,1.5,0,36
"39",20,"a",8.7,12,85,235,2550,6.9,15.2,1.4,12.9,84.1,5,0.321,15.7,7.25,2.5,0,101
"40",20,"b",8.3,22,96,245,2600,7.1,15.3,1.6,13.4,85,4.8,0.249,19.3,6.75,0.6,0,101
"41",20,"c",4.9,7,92,210,1750,6.8,11.1,2.1,15.8,79.1,2.8,0.202,14.1,5.5,0.9,0,101
"42",20,"d",8.2,12,70,290,2800,7,16.6,1.1,14.6,84.4,4.8,0.337,14.1,6.25,1.2,0,101
"45",21,"a",5.5,4,84,60,150,4.7,3.9,5.6,12.9,19.4,3.2,0.234,13.6,1,2.7,0,25
"46",21,"b",12.7,6,58,45,150,4.5,3.7,4,10.2,20.4,7.4,0.447,16.5,0.5,2,0,29
"47",21,"c",6.9,3,59,40,150,4.5,3.6,4.2,9.2,20.6,4,0.305,13.1,1.75,3.2,0,30
"48",21,"d",6.3,3,55,40,150,4.6,3.6,3.9,9.2,20.7,3.7,0.27,13.5,2,2.6,0,75
"49",22,"a",2.3,3,41,130,1100,7.1,6.7,1.6,16.2,82.2,1.3,0.09,14.8,9.25,0.3,0,101
"50",22,"b",2.7,2,38,140,1650,7.2,9.5,1,12.3,86.7,1.6,0.119,13.2,9.75,0.1,0,101
"51",22,"c",2.3,2,40,95,1500,7.2,8.4,1.2,9.4,89.3,1.3,0.099,13.5,23.25,0.1,0,58
"52",22,"d",4.2,3,57,235,1000,5.9,9.5,1.5,20.6,52.6,2.4,0.196,12.4,4.25,1.8,0,83
"53",23,"a",8.4,1,59,40,150,4.4,21.6,0.7,1.5,3.5,4.9,0.285,17.1,9.5,1.9,0,101
"54",23,"b",5.2,1,56,40,150,4.6,3.6,4,9.2,20.7,3,0.19,15.9,8.25,3.5,0,101
"55",23,"c",8.9,2,67,30,100,4.1,24.9,0.7,1,2,5.2,0.291,17.7,17,2.1,0,52
"56",23,"d",5.4,1,46,40,150,4.5,3.6,3.3,9.3,20.8,3.1,0.2,15.7,13.75,1.4,0,57
"16",24,"a",21.5,18,109,80,250,4.2,21.4,1.3,3.1,5.8,12.5,0.547,22.8,0.75,3.6,0,48
"17",24,"b",16.2,3,89,70,200,4.2,22.2,1,2.6,4.5,9.4,0.496,18.9,0.25,2.4,0,35
"18",24,"c",16.1,2,85,65,150,4.1,19.5,1.1,2.8,3.8,9.3,0.484,19.3,0.25,3.8,0,37
"19",24,"d",10.8,9,76,45,200,4.1,22,0.9,1.7,4.6,6.3,0.323,19.4,0.5,2.6,0,36
"20",25,"a",5.6,2,73,50,150,4.3,13.4,1.4,3.1,5.6,3.2,0.218,14.9,12,0.8,0,27
"21",25,"b",6.7,3,77,35,100,4.4,17.8,1.1,1.6,2.8,3.9,0.217,17.9,6.75,0.4,0,65
"22",25,"c",10.5,3,93,45,250,4.2,19.9,1.2,1.9,6.3,6.1,0.434,14,13.25,1.4,0,70
"23",25,"d",8.3,4,89,60,150,4.3,19.5,1.2,2.6,3.9,4.8,0.315,15.3,6.25,2.2,0,16
"24",26,"a",6.3,4,78,220,1750,6.4,12,1.7,15.3,73,3.7,0.299,12.2,8.25,2.4,0,28
"25",26,"b",6.9,4,66,240,1450,6.3,10.6,1.6,18.8,68.3,4,0.249,16.1,3,2.2,0,67
"26",26,"c",8.2,11,91,210,1500,5.5,14.3,1.6,12.3,52.5,4.8,0.328,14.5,4,2.3,0,28
"27",26,"d",6.8,11,89,260,1350,5.9,12.7,1.8,17,53,3.9,0.282,14,4,2,0,30
"1",27,"a",13.5,3,90,65,150,4.4,20.7,1.1,2.6,3.6,7.8,0.441,17.8,10,3.8,0,35
"2",27,"b",11.3,3,80,60,150,4.6,3.9,5.3,13,19.5,6.6,0.386,17,11.25,3.2,0,32
"3",27,"c",7.8,3,66,40,200,4.5,5.1,3.3,6.5,19.6,4.5,0.272,16.6,13,3.7,0,28
"4",27,"d",31.5,5,109,75,200,4.6,5.5,5.1,11.4,18.2,18.3,0.884,20.7,12.75,3.5,0,37
"5",28,"a",7.4,5,115,110,450,5.1,7.1,4.2,13,31.9,4.3,0.295,14.5,0.5,0.3,0,34
"6",28,"b",7.9,5,121,100,450,5,7,4.4,11.9,32.2,4.6,0.295,15.5,0.5,1.1,0,44.5
"7",28,"c",6.3,3,135,125,500,5.4,6.3,5.5,16.6,39.8,3.7,0.25,14.6,1,0.9,0,29
"8",28,"d",6.7,7,101,80,250,4.9,4.6,5.7,14.6,27.3,3.9,0.256,15.2,0.75,1.2,0,44
"9",29,"a",11.9,5,76,40,100,4.5,3.4,5.7,9.7,14.6,6.9,0.392,17.6,1,3.4,0,55
"10",29,"b",9.4,5,80,35,200,4.1,21.9,0.9,1.3,4.6,5.5,0.313,17.4,0.25,3.5,0,54
"11",29,"c",11.8,6,83,40,200,4.2,20.7,1,1.6,4.8,6.8,0.376,18.2,0.75,2.9,0,44
"12",29,"d",10.9,9,70,40,150,4.3,19.3,0.9,1.7,3.9,6.3,0.359,17.6,0.25,2,0,59
